x,y,z,p,i,j,s,val-esp
0.2,0.2,20.0,1000.0,10.0,1.2003,13.264.502.315.156.900,16.421
0.2,0.2,20.0,1000.0,10.0,1.2024,14.660.765.716.752.300,17.989
0.2,0.2,20.0,1000.0,10.0,1.008,0.0,24.022
0.2,0.2,20.0,1000.0,10.0,26.194,1.396.263.401.595.460,"1,30E-01"
0.2,0.2,20.0,1000.0,10.0,1.0111,2.792.526.803.190.920,85.379
0.2,0.2,20.0,1000.0,10.0,3.898,418.879.020.478.639,"4,89E-01"
0.2,0.2,20.0,1000.0,10.0,51.415,5.585.053.606.381.850,10.646
0.2,0.2,20.0,1000.0,10.0,63.399,6.981.317.007.977.310,19.685
0.2,0.2,20.0,1000.0,10.0,74.696,8.377.580.409.572.780,31.928
0.2,0.2,20.0,1000.0,10.0,84.021,9.773.843.811.168.240,4.613
0.2,0.2,20.0,1000.0,10.0,90.651,1.117.010.721.276.370,60.946
0.2,0.2,20.0,1000.0,10.0,9.491,12.566.370.614.359.100,76.142
0.8,0.2,20.0,100.0,40.0,74.483,767.944.870.877.505,38.945
0.8,0.2,20.0,100.0,40.0,60.818,9.075.712.110.370.510,28.961
0.8,0.2,20.0,100.0,40.0,6.488,10.471.975.511.965.900,33.236
0.8,0.2,20.0,100.0,40.0,68.621,11.868.238.913.561.400,37.419
0.8,0.2,20.0,100.0,40.0,72.072,13.264.502.315.156.900,42.585
0.8,0.2,20.0,100.0,40.0,75.227,14.660.765.716.752.300,47.431
0.8,0.2,20.0,100.0,40.0,80.468,0.0,1.177
0.8,0.2,20.0,100.0,40.0,82.611,1.396.263.401.595.460,45.301
0.8,0.2,20.0,100.0,40.0,84.483,2.792.526.803.190.920,62.658
0.8,0.2,20.0,100.0,40.0,86.003,418.879.020.478.639,77.587
0.8,0.2,20.0,100.0,40.0,14.784,5.585.053.606.381.850,12.093
0.8,0.2,20.0,100.0,40.0,87.522,6.981.317.007.977.310,87.509
0.8,0.2,20.0,100.0,40.0,21.896,8.377.580.409.572.780,33.199
0.8,0.2,20.0,100.0,40.0,28.667,9.773.843.811.168.240,60.746
0.8,0.2,20.0,100.0,40.0,35.034,1.117.010.721.276.370,92.778
0.8,0.2,20.0,100.0,40.0,40.978,12.566.370.614.359.100,126
0.8,0.2,20.0,100.0,40.0,46.501,13.962.634.015.954.600,16.059
0.8,0.2,20.0,100.0,40.0,51.648,153.588.974.175.501,19.836
0.2,0.2,3.0,1000.0,10.0,2.538,13.962.634.015.954.600,"4,73E-01"
0.2,0.2,3.0,1000.0,10.0,1.275,153.588.974.175.501,25.758
0.2,0.2,3.0,1000.0,10.0,1.358,698.131.700.797.731,7.003
0.2,0.2,3.0,1000.0,10.0,1.3985,2.094.395.102.393.190,10.937
0.2,0.2,3.0,1000.0,10.0,1.4354,3.490.658.503.988.650,16.067
0.2,0.2,3.0,1000.0,10.0,1.4685,4.886.921.905.584.120,22.252
0.2,0.2,3.0,1000.0,10.0,1.502,6.283.185.307.179.580,29.376
0.2,0.2,3.0,1000.0,10.0,1.535,767.944.870.877.505,37.442
0.2,0.2,3.0,1000.0,10.0,1.5671,9.075.712.110.370.510,45.644
0.2,0.2,3.0,1000.0,10.0,1.5955,10.471.975.511.965.900,5.371
0.2,0.2,3.0,1000.0,10.0,50.228,11.868.238.913.561.400,17.093
0.2,0.2,3.0,1000.0,10.0,1.6235,13.264.502.315.156.900,6.422
0.2,0.2,3.0,1000.0,10.0,73.821,14.660.765.716.752.300,39.951
0.2,0.2,3.0,1000.0,10.0,1.1983,0.0,18.186
0.2,0.2,3.0,1000.0,10.0,1.0599,1.396.263.401.595.460,35.508
0.2,0.2,3.0,1000.0,10.0,1.1192,2.792.526.803.190.920,56.799
0.2,0.2,3.0,1000.0,10.0,1.1774,418.879.020.478.639,86.629
0.2,0.2,3.0,1000.0,10.0,1.2313,5.585.053.606.381.850,12.464
0.8,0.2,3.0,100.0,40.0,95.554,698.131.700.797.731,28.327
0.8,0.2,3.0,100.0,40.0,78.599,2.094.395.102.393.190,28.521
0.8,0.2,3.0,100.0,40.0,8.358,3.490.658.503.988.650,41.725
0.8,0.2,3.0,100.0,40.0,87.863,4.886.921.905.584.120,57.374
0.8,0.2,3.0,100.0,40.0,91.523,6.283.185.307.179.580,72.593
0.8,0.2,3.0,100.0,40.0,94.189,767.944.870.877.505,85.485
0.8,0.2,3.0,100.0,40.0,96.446,9.075.712.110.370.510,95.306
0.8,0.2,3.0,100.0,40.0,9.802,10.471.975.511.965.900,10.203
0.8,0.2,3.0,100.0,40.0,99.558,11.868.238.913.561.400,10.708
0.8,0.2,3.0,100.0,40.0,1.1987,13.264.502.315.156.900,11.251
0.8,0.2,3.0,100.0,40.0,1.0222,14.660.765.716.752.300,11.884
0.8,0.2,3.0,100.0,40.0,1.0363,0.0,2.887
0.8,0.2,3.0,100.0,40.0,2.812,1.396.263.401.595.460,2.498
0.8,0.2,3.0,100.0,40.0,3.681,2.792.526.803.190.920,53.538
0.8,0.2,3.0,100.0,40.0,45.074,418.879.020.478.639,10.085
0.8,0.2,3.0,100.0,40.0,52.848,5.585.053.606.381.850,16.883
0.8,0.2,3.0,100.0,40.0,6.009,6.981.317.007.977.310,25.116
0.8,0.2,3.0,100.0,40.0,66.808,8.377.580.409.572.780,33.866
0.8,0.2,3.0,100.0,40.0,72.987,9.773.843.811.168.240,42.156
0.8,0.2,3.0,1000.0,40.0,16.607,1.117.010.721.276.370,21.933
0.8,0.2,3.0,1000.0,40.0,99.741,12.566.370.614.359.100,11.439
0.8,0.2,3.0,1000.0,40.0,1.0206,13.962.634.015.954.600,12.696
0.8,0.2,3.0,1000.0,40.0,1.0468,153.588.974.175.501,14.141
0.8,0.2,3.0,1000.0,40.0,1.1025,698.131.700.797.731,74.817
0.8,0.2,3.0,1000.0,40.0,1.1298,2.094.395.102.393.190,11.439
0.8,0.2,3.0,1000.0,40.0,1.1564,3.490.658.503.988.650,16.051
0.8,0.2,3.0,1000.0,40.0,1.1817,4.886.921.905.584.120,21.311
0.8,0.2,3.0,1000.0,40.0,1.2052,6.283.185.307.179.580,26.294
0.8,0.2,3.0,1000.0,40.0,1.2266,767.944.870.877.505,30.226
0.8,0.2,3.0,1000.0,40.0,32.464,9.075.712.110.370.510,76.781
0.8,0.2,3.0,1000.0,40.0,1.2461,10.471.975.511.965.900,31.694
0.8,0.2,3.0,1000.0,40.0,47.017,11.868.238.913.561.400,1.686
0.8,0.2,3.0,1000.0,40.0,6.018,13.264.502.315.156.900,27.455
0.8,0.2,3.0,1000.0,40.0,71.528,14.660.765.716.752.300,39.466
0.8,0.2,3.0,1000.0,40.0,89.061,0.0,18.218
0.8,0.2,3.0,1000.0,40.0,93.386,1.396.263.401.595.460,4.238
0.8,0.2,3.0,1000.0,40.0,97.474,2.792.526.803.190.920,65.362
0.2,0.2,4.0,1000.0,10.0,24.421,6.981.317.007.977.310,"2,85E-01"
0.2,0.2,4.0,1000.0,10.0,1.1712,8.377.580.409.572.780,17.541
0.2,0.2,4.0,1000.0,10.0,1.1981,9.773.843.811.168.240,21.902
0.2,0.2,4.0,1000.0,10.0,1.2246,1.117.010.721.276.370,26.356
0.2,0.2,4.0,1000.0,10.0,1.2512,12.566.370.614.359.100,30.777
0.2,0.2,4.0,1000.0,10.0,1.2771,13.962.634.015.954.600,34.954
0.2,0.2,4.0,1000.0,10.0,1.3016,153.588.974.175.501,38.714
0.2,0.2,4.0,1000.0,10.0,1.3429,698.131.700.797.731,90.874
0.2,0.2,4.0,1000.0,10.0,1.3635,2.094.395.102.393.190,14.312
0.2,0.2,4.0,1000.0,10.0,1.3837,3.490.658.503.988.650,20.556
0.2,0.2,4.0,1000.0,10.0,48.282,4.886.921.905.584.120,"8,50E-01"
0.2,0.2,4.0,1000.0,10.0,1.4031,6.283.185.307.179.580,33.641
0.2,0.2,4.0,1000.0,10.0,7.095,767.944.870.877.505,26.458
0.2,0.2,4.0,1000.0,10.0,89.351,9.075.712.110.370.510,50.084
0.2,0.2,4.0,1000.0,10.0,96.637,10.471.975.511.965.900,78.354
0.2,0.2,4.0,1000.0,10.0,1.0195,11.868.238.913.561.400,10.822
0.2,0.2,4.0,1000.0,10.0,1.0578,13.264.502.315.156.900,13.913
0.2,0.2,4.0,1000.0,10.0,1.0974,14.660.765.716.752.300,17.029
0.8,0.2,4.0,100.0,40.0,94.758,1.117.010.721.276.370,69.254
0.8,0.2,4.0,100.0,40.0,7.612,12.566.370.614.359.100,45.782
0.8,0.2,4.0,100.0,40.0,80.824,13.962.634.015.954.600,52.095
0.8,0.2,4.0,100.0,40.0,84.945,153.588.974.175.501,58.717
0.8,0.2,4.0,100.0,40.0,91.115,698.131.700.797.731,35.913
0.8,0.2,4.0,100.0,40.0,93.562,2.094.395.102.393.190,54.686
0.8,0.2,4.0,100.0,40.0,94.917,3.490.658.503.988.650,74.514
0.8,0.2,4.0,100.0,40.0,96.272,4.886.921.905.584.120,96.035
0.8,0.2,4.0,100.0,40.0,97.395,6.283.185.307.179.580,11.408
0.8,0.2,4.0,100.0,40.0,98.353,767.944.870.877.505,12.666
0.8,0.2,4.0,100.0,40.0,18.786,9.075.712.110.370.510,2.534
0.8,0.2,4.0,100.0,40.0,9.931,10.471.975.511.965.900,12.894
0.8,0.2,4.0,100.0,40.0,27.774,11.868.238.913.561.400,57.774
0.8,0.2,4.0,100.0,40.0,36.291,13.264.502.315.156.900,98.246
0.8,0.2,4.0,100.0,40.0,4.427,14.660.765.716.752.300,14.553
0.8,0.2,4.0,100.0,40.0,58.691,0.0,69.043
0.8,0.2,4.0,100.0,40.0,65.032,1.396.263.401.595.460,16.909
0.8,0.2,4.0,100.0,40.0,70.847,2.792.526.803.190.920,26.165
0.8,0.2,4.0,1000.0,40.0,15.256,418.879.020.478.639,10.786
0.8,0.2,4.0,1000.0,40.0,95.112,5.585.053.606.381.850,96.731
0.8,0.2,4.0,1000.0,40.0,96.822,6.981.317.007.977.310,11.866
0.8,0.2,4.0,1000.0,40.0,98.532,8.377.580.409.572.780,13.575
0.8,0.2,4.0,1000.0,40.0,99.837,9.773.843.811.168.240,14.764
0.8,0.2,4.0,1000.0,40.0,1.0114,1.117.010.721.276.370,15.565
0.8,0.2,4.0,1000.0,40.0,1.0257,12.566.370.614.359.100,16.396
0.8,0.2,4.0,1000.0,40.0,1.0412,13.962.634.015.954.600,17.431
0.8,0.2,4.0,1000.0,40.0,1.0572,153.588.974.175.501,18.651
0.8,0.2,4.0,1000.0,40.0,1.0891,698.131.700.797.731,96.269
0.8,0.2,4.0,1000.0,40.0,29.801,2.094.395.102.393.190,31.509
0.8,0.2,4.0,1000.0,40.0,1.1043,3.490.658.503.988.650,18.899
0.8,0.2,4.0,1000.0,40.0,43.131,4.886.921.905.584.120,10.231
0.8,0.2,4.0,1000.0,40.0,55.167,6.283.185.307.179.580,20.205
0.8,0.2,4.0,1000.0,40.0,65.678,767.944.870.877.505,32.816
0.8,0.2,4.0,1000.0,40.0,74.725,9.075.712.110.370.510,46.127
0.8,0.2,4.0,1000.0,40.0,82.263,10.471.975.511.965.900,58.566
0.8,0.2,4.0,1000.0,40.0,88.252,11.868.238.913.561.400,69.691
0.8,0.2,4.0,1000.0,40.0,92.148,13.264.502.315.156.900,80.734
0.2,0.2,6.0,1000.0,10.0,20.819,0.0,"7,66E-02"
0.2,0.2,6.0,1000.0,10.0,1.0576,1.396.263.401.595.460,50.925
0.2,0.2,6.0,1000.0,10.0,1.0776,2.792.526.803.190.920,74.986
0.2,0.2,6.0,1000.0,10.0,1.0967,418.879.020.478.639,10.458
0.2,0.2,6.0,1000.0,10.0,1.1138,5.585.053.606.381.850,14.021
0.2,0.2,6.0,1000.0,10.0,1.126,6.981.317.007.977.310,18.178
0.2,0.2,6.0,1000.0,10.0,1.1389,8.377.580.409.572.780,22.415
0.2,0.2,6.0,1000.0,10.0,1.1519,9.773.843.811.168.240,26.657
0.2,0.2,6.0,1000.0,10.0,1.1647,1.117.010.721.276.370,30.821
0.2,0.2,6.0,1000.0,10.0,1.1772,12.566.370.614.359.100,34.753
0.2,0.2,6.0,1000.0,10.0,1.1892,13.962.634.015.954.600,38.294
0.2,0.2,6.0,1000.0,10.0,41.238,153.588.974.175.501,12.219
0.2,0.2,6.0,1000.0,10.0,60.905,698.131.700.797.731,"7,07E-01"
0.2,0.2,6.0,1000.0,10.0,78.884,2.094.395.102.393.190,15.581
0.2,0.2,6.0,1000.0,10.0,91.554,3.490.658.503.988.650,29.991
0.2,0.2,6.0,1000.0,10.0,97.855,4.886.921.905.584.120,49.305
0.2,0.2,6.0,1000.0,10.0,99.837,6.283.185.307.179.580,72.018
0.2,0.2,6.0,1000.0,10.0,1.017,767.944.870.877.505,97.856
0.2,0.2,6.0,1000.0,10.0,1.0372,9.075.712.110.370.510,12.608
0.8,0.2,6.0,100.0,40.0,85.636,418.879.020.478.639,34.969
0.8,0.2,6.0,100.0,40.0,69.335,5.585.053.606.381.850,35.066
0.8,0.2,6.0,100.0,40.0,73.824,6.981.317.007.977.310,43.746
0.8,0.2,6.0,100.0,40.0,7.791,8.377.580.409.572.780,51.466
0.8,0.2,6.0,100.0,40.0,81.444,9.773.843.811.168.240,578
0.8,0.2,6.0,100.0,40.0,84.524,1.117.010.721.276.370,62.662
0.8,0.2,6.0,100.0,40.0,87.333,12.566.370.614.359.100,6.803
0.8,0.2,6.0,100.0,40.0,89.307,13.962.634.015.954.600,74.048
0.8,0.2,6.0,100.0,40.0,91.282,153.588.974.175.501,80.039
0.8,0.2,6.0,100.0,40.0,93.423,698.131.700.797.731,48.168
0.8,0.2,6.0,100.0,40.0,16.986,2.094.395.102.393.190,97.483
0.8,0.2,6.0,100.0,40.0,94.451,3.490.658.503.988.650,91.301
0.8,0.2,6.0,100.0,40.0,25.137,4.886.921.905.584.120,32.313
0.8,0.2,6.0,100.0,40.0,32.856,6.283.185.307.179.580,6.589
0.8,0.2,6.0,100.0,40.0,40.116,767.944.870.877.505,11.101
0.8,0.2,6.0,100.0,40.0,46.886,9.075.712.110.370.510,16.337
0.8,0.2,6.0,100.0,40.0,53.217,10.471.975.511.965.900,21.562
0.8,0.2,6.0,100.0,40.0,59.067,11.868.238.913.561.400,26.567
0.8,0.2,6.0,100.0,40.0,6.442,13.264.502.315.156.900,31.657
0.8,0.2,6.0,1000.0,40.0,15.757,14.660.765.716.752.300,18.879
0.8,0.2,6.0,1000.0,40.0,94.573,0.0,25.303
0.8,0.2,6.0,1000.0,40.0,95.705,1.396.263.401.595.460,73.051
0.8,0.2,6.0,1000.0,40.0,96.814,2.792.526.803.190.920,10.579
0.8,0.2,6.0,1000.0,40.0,97.703,418.879.020.478.639,14.115
0.8,0.2,6.0,1000.0,40.0,98.592,5.585.053.606.381.850,17.481
0.8,0.2,6.0,1000.0,40.0,99.373,6.981.317.007.977.310,19.887
0.8,0.2,6.0,1000.0,40.0,1.2012,8.377.580.409.572.780,21.393
0.8,0.2,6.0,1000.0,40.0,1.1985,9.773.843.811.168.240,22.142
0.8,0.2,6.0,1000.0,40.0,1.0157,1.117.010.721.276.370,22.527
0.8,0.2,6.0,1000.0,40.0,30.636,12.566.370.614.359.100,70.615
0.8,0.2,6.0,1000.0,40.0,1.0234,13.962.634.015.954.600,23.109
0.8,0.2,6.0,1000.0,40.0,43.994,153.588.974.175.501,14.348
0.8,0.2,6.0,1000.0,40.0,65.882,698.131.700.797.731,15.407
0.8,0.2,6.0,1000.0,40.0,74.418,2.094.395.102.393.190,29.328
0.8,0.2,6.0,1000.0,40.0,81.435,3.490.658.503.988.650,46.927
0.8,0.2,6.0,1000.0,40.0,86.725,4.886.921.905.584.120,67.963
0.8,0.2,6.0,1000.0,40.0,90.489,6.283.185.307.179.580,88.081
0.2,0.4,10.0,1000.0,5.0,14.198,10.471.975.511.965.900,"1,06E-01"
0.2,0.4,10.0,1000.0,5.0,9.863,11.868.238.913.561.400,81.022
0.2,0.4,10.0,1000.0,5.0,1.2017,13.264.502.315.156.900,94.889
0.2,0.4,10.0,1000.0,5.0,1.0103,14.660.765.716.752.300,10.764
0.2,0.4,10.0,1000.0,5.0,1.0273,0.0,37.928
0.2,0.4,10.0,1000.0,5.0,1.0356,1.396.263.401.595.460,68.916
0.2,0.4,10.0,1000.0,5.0,1.0438,2.792.526.803.190.920,88.967
0.2,0.4,10.0,1000.0,5.0,1.0517,418.879.020.478.639,10.871
0.2,0.4,10.0,1000.0,5.0,1.059,5.585.053.606.381.850,12.898
0.2,0.4,10.0,1000.0,5.0,1.0651,6.981.317.007.977.310,14.948
0.2,0.4,10.0,1000.0,5.0,28.307,8.377.580.409.572.780,"3,56E-01"
0.2,0.4,10.0,1000.0,5.0,1.0703,9.773.843.811.168.240,18.086
0.2,0.4,10.0,1000.0,5.0,42.221,1.117.010.721.276.370,"8,96E-01"
0.2,0.4,10.0,1000.0,5.0,55.865,12.566.370.614.359.100,16.374
0.2,0.4,10.0,1000.0,5.0,69.112,13.962.634.015.954.600,25.998
0.2,0.4,10.0,1000.0,5.0,81.657,153.588.974.175.501,37.257
0.2,0.4,10.0,1000.0,5.0,95.551,698.131.700.797.731,2.838
0.2,0.4,10.0,1000.0,5.0,9.709,2.094.395.102.393.190,42.154
0.2,0.4,20.0,100.0,5.0,64.884,10.471.975.511.965.900,"2,24E-01"
0.2,0.4,20.0,100.0,5.0,6.333,11.868.238.913.561.400,20.722
0.2,0.4,20.0,100.0,5.0,69.277,13.264.502.315.156.900,25.882
0.2,0.4,20.0,100.0,5.0,75.102,14.660.765.716.752.300,31.245
0.2,0.4,20.0,100.0,5.0,85.723,0.0,14.267
0.2,0.4,20.0,100.0,5.0,90.132,1.396.263.401.595.460,2.607
0.2,0.4,20.0,100.0,5.0,93.353,2.792.526.803.190.920,32.887
0.2,0.4,20.0,100.0,5.0,95.553,418.879.020.478.639,39.993
0.2,0.4,20.0,100.0,5.0,96.652,5.585.053.606.381.850,47.603
0.2,0.4,20.0,100.0,5.0,9.775,6.981.317.007.977.310,55.541
0.2,0.4,20.0,100.0,5.0,12.975,8.377.580.409.572.780,"7,41E-01"
0.2,0.4,20.0,100.0,5.0,98.849,9.773.843.811.168.240,66.902
0.2,0.4,20.0,100.0,5.0,19.445,1.117.010.721.276.370,18.568
0.2,0.4,20.0,100.0,5.0,25.879,12.566.370.614.359.100,34.366
0.2,0.4,20.0,100.0,5.0,32.274,13.962.634.015.954.600,5.511
0.2,0.4,20.0,100.0,5.0,38.621,153.588.974.175.501,79.892
0.2,0.4,20.0,100.0,5.0,51.133,698.131.700.797.731,73.186
0.2,0.4,20.0,100.0,5.0,57.275,2.094.395.102.393.190,96.533
0.2,0.4,20.0,1000.0,5.0,11.726,3.490.658.503.988.650,"4,19E-02"
0.2,0.4,20.0,1000.0,5.0,96.892,4.886.921.905.584.120,46.231
0.2,0.4,20.0,1000.0,5.0,98.673,6.283.185.307.179.580,57.807
0.2,0.4,20.0,1000.0,5.0,99.027,767.944.870.877.505,69.221
0.2,0.4,20.0,1000.0,5.0,99.381,9.075.712.110.370.510,81.482
0.2,0.4,20.0,1000.0,5.0,9.968,10.471.975.511.965.900,9.406
0.2,0.4,20.0,1000.0,5.0,99.905,11.868.238.913.561.400,10.601
0.2,0.4,20.0,1000.0,5.0,1.2013,13.264.502.315.156.900,11.758
0.2,0.4,20.0,1000.0,5.0,1.1939,14.660.765.716.752.300,1.282
0.2,0.4,20.0,1000.0,5.0,1.0102,0.0,38.653
0.2,0.4,20.0,1000.0,5.0,23.405,1.396.263.401.595.460,"1,47E-01"
0.2,0.4,20.0,1000.0,5.0,1.0134,2.792.526.803.190.920,91.149
0.2,0.4,20.0,1000.0,5.0,34.959,418.879.020.478.639,"3,86E-01"
0.2,0.4,20.0,1000.0,5.0,46.346,5.585.053.606.381.850,"7,66E-01"
0.2,0.4,20.0,1000.0,5.0,57.507,6.981.317.007.977.310,13.275
0.2,0.4,20.0,1000.0,5.0,6.836,8.377.580.409.572.780,20.928
0.2,0.4,20.0,1000.0,5.0,78.773,9.773.843.811.168.240,30.481
0.2,0.4,20.0,1000.0,5.0,87.753,1.117.010.721.276.370,41.173
0.2,0.4,20.0,1000.0,5.0,9.424,12.566.370.614.359.100,5.189
0.2,0.8,20.0,100.0,5.0,79.643,9.075.712.110.370.510,"1,94E-01"
0.2,0.8,20.0,100.0,5.0,77.153,10.471.975.511.965.900,19.418
0.2,0.8,20.0,100.0,5.0,84.043,11.868.238.913.561.400,23.781
0.2,0.8,20.0,100.0,5.0,90.157,13.264.502.315.156.900,28.396
0.2,0.8,20.0,100.0,5.0,98.632,0.0,22.651
0.2,0.8,20.0,100.0,5.0,99.639,1.396.263.401.595.460,40.381
0.2,0.8,20.0,100.0,5.0,9.983,2.792.526.803.190.920,47.909
0.2,0.8,20.0,100.0,5.0,1.2002,418.879.020.478.639,52.913
0.2,0.8,20.0,100.0,5.0,1.2023,5.585.053.606.381.850,57.373
0.2,0.8,20.0,100.0,5.0,15.928,6.981.317.007.977.310,"7,48E-01"
0.2,0.8,20.0,100.0,5.0,1.1949,8.377.580.409.572.780,62.093
0.2,0.8,20.0,100.0,5.0,23.867,9.773.843.811.168.240,17.287
0.2,0.8,20.0,100.0,5.0,31.763,1.117.010.721.276.370,31.128
0.8,0.4,20.0,100.0,20.0,49.879,153.588.974.175.501,88.039
0.8,0.4,20.0,1000.0,20.0,12.257,698.131.700.797.731,"4,58E-01"
0.8,0.4,20.0,1000.0,20.0,85.247,2.094.395.102.393.190,34.953
0.8,0.4,20.0,1000.0,20.0,87.828,3.490.658.503.988.650,44.623
0.8,0.4,20.0,1000.0,20.0,89.381,4.886.921.905.584.120,52.189
0.8,0.4,20.0,1000.0,20.0,90.387,6.283.185.307.179.580,57.436
0.8,0.4,20.0,1000.0,20.0,90.936,767.944.870.877.505,61.192
0.8,0.4,20.0,1000.0,20.0,91.371,9.075.712.110.370.510,64.927
0.8,0.4,20.0,1000.0,20.0,91.758,10.471.975.511.965.900,69.389
0.8,0.4,20.0,1000.0,20.0,92.096,11.868.238.913.561.400,76.103
0.8,0.4,20.0,1000.0,20.0,92.424,13.264.502.315.156.900,82.699
0.8,0.4,20.0,1000.0,20.0,92.715,14.660.765.716.752.300,88.829
0.8,0.4,20.0,1000.0,20.0,93.003,0.0,32.741
0.8,0.4,20.0,1000.0,20.0,35.896,1.396.263.401.595.460,39.672
0.8,0.4,20.0,1000.0,20.0,46.604,2.792.526.803.190.920,69.034
0.8,0.4,20.0,1000.0,20.0,56.136,418.879.020.478.639,10.875
0.8,0.4,20.0,1000.0,20.0,64.419,5.585.053.606.381.850,15.886
0.8,0.4,20.0,1000.0,20.0,71.373,6.981.317.007.977.310,21.227
0.8,0.4,20.0,1000.0,20.0,77.085,8.377.580.409.572.780,25.793
0.8,0.4,20.0,1000.0,20.0,81.762,9.773.843.811.168.240,30.148
0.2,0.4,3.0,1000.0,5.0,26.613,13.962.634.015.954.600,"3,99E-02"
0.2,0.4,3.0,1000.0,5.0,1.3173,153.588.974.175.501,21.732
0.2,0.4,3.0,1000.0,5.0,1.4061,698.131.700.797.731,11.168
0.2,0.4,3.0,1000.0,5.0,1.4449,2.094.395.102.393.190,15.119
