a,b,c,d,e,val-esp
1.0,1.0,-4.0,-4.0,1.0,25.95
-2.0,2.0,3.0,-3.0,-2.0,-2.47
-1.0,2.0,3.0,4.0,3.0,29.87
2.0,-1.0,1.0,-3.0,-1.0,20.070000000000004
4.0,5.0,4.0,-5.0,0.0,59.92333333333333
-5.0,0.0,3.0,0.0,0.0,-5.41
4.0,4.0,-4.0,-2.0,-3.0,11.576666666666668
0.0,1.0,2.0,-2.0,-1.0,0.46999999999999975
-2.0,-4.0,4.0,-2.0,-5.0,-2.796666666666667
-4.0,-2.0,-3.0,0.0,1.0,-5.41
-3.0,-1.0,-2.0,4.0,0.0,39.016666666666666
2.0,-1.0,3.0,-4.0,2.0,35.09666666666668
1.0,-2.0,5.0,-2.0,-3.0,5.696666666666667
1.0,3.0,-1.0,2.0,-5.0,-0.18333333333333357
PS D:\testejava\geracaocsv> java -jar target/GeracaoCSV-1.0-SNAPSHOT-jar-with-dependencies.jar
3.0,5.0,2.0,-3.0,-4.0,19.09
-3.0,-3.0,-4.0,-1.0,5.0,-7.696666666666667
5.0,-2.0,-2.0,3.0,1.0,-17.17
-3.0,2.0,0.0,-5.0,-4.0,7.656666666666666
-3.0,5.0,-5.0,4.0,5.0,46.85666666666667
4.0,5.0,2.0,5.0,-1.0,10.923333333333332
3.0,-4.0,-2.0,-4.0,-1.0,45.55000000000001
-2.0,0.0,5.0,-1.0,-1.0,-7.043333333333333
4.0,5.0,5.0,0.0,-2.0,-5.41
5.0,-1.0,4.0,-2.0,-3.0,18.11
2.0,-5.0,4.0,-2.0,1.0,10.923333333333336
-1.0,-3.0,0.0,4.0,1.0,23.33666666666667
-4.0,-4.0,1.0,5.0,-3.0,61.55666666666666
0.0,2.0,5.0,1.0,5.0,-3.1233333333333335
3.0,0.0,5.0,-5.0,4.0,59.92333333333333
-1.0,3.0,2.0,0.0,-3.0,-5.41
4.0,-4.0,2.0,1.0,-4.0,-11.616666666666667
3.0,-1.0,5.0,-4.0,0.0,41.629999999999995
-4.0,-1.0,-4.0,1.0,3.0,2.4299999999999997
-3.0,-3.0,-2.0,-1.0,5.0,-7.696666666666667
1.0,-3.0,5.0,-3.0,-5.0,17.13
-5.0,2.0,-3.0,-5.0,5.0,-8.676666666666666
3.0,5.0,-3.0,0.0,5.0,-5.41
-3.0,-4.0,-4.0,-3.0,-3.0,-1.4899999999999998
-5.0,0.0,-1.0,3.0,5.0,33.790000000000006
-2.0,-5.0,-2.0,3.0,0.0,14.190000000000001
-4.0,5.0,4.0,-2.0,-4.0,-15.21
-4.0,-3.0,-2.0,-2.0,-5.0,-9.983333333333334
1.0,-1.0,-2.0,3.0,5.0,3.41
5.0,0.0,-4.0,5.0,3.0,-5.41
3.0,0.0,-5.0,3.0,0.0,-5.41
4.0,0.0,-4.0,1.0,3.0,-10.31
5.0,-2.0,3.0,1.0,4.0,-12.596666666666668
4.0,5.0,0.0,2.0,0.0,-8.676666666666666
-2.0,4.0,0.0,-5.0,3.0,12.556666666666668
-3.0,4.0,-4.0,-5.0,2.0,4.389999999999999
4.0,-1.0,-5.0,2.0,5.0,-12.596666666666668
5.0,0.0,-2.0,4.0,-4.0,-11.943333333333333
0.0,-2.0,3.0,4.0,1.0,18.11
-2.0,4.0,-4.0,-1.0,-1.0,-8.35
5.0,5.0,-3.0,-2.0,0.0,14.190000000000001
1.0,-5.0,5.0,1.0,-4.0,-7.043333333333333
0.0,-5.0,3.0,-1.0,3.0,-2.1433333333333335
1.0,2.0,-1.0,-1.0,3.0,-2.796666666666667
5.0,0.0,4.0,-2.0,4.0,17.45666666666667
3.0,-5.0,-4.0,0.0,4.0,-5.41
1.0,-5.0,0.0,-5.0,-1.0,51.756666666666675
-1.0,-5.0,-4.0,-3.0,-2.0,9.290000000000001
5.0,4.0,-1.0,0.0,1.0,-5.41
4.0,-1.0,-5.0,2.0,1.0,-12.596666666666668
-2.0,-2.0,-4.0,0.0,0.0,-5.41
-2.0,5.0,2.0,5.0,-2.0,59.92333333333333
-1.0,2.0,1.0,5.0,-1.0,46.85666666666667
-1.0,0.0,3.0,3.0,4.0,14.190000000000001
-5.0,2.0,-1.0,-3.0,-5.0,-17.17
-5.0,2.0,-2.0,2.0,-5.0,18.763333333333335
-1.0,0.0,3.0,-2.0,-1.0,-2.1433333333333335
5.0,-3.0,0.0,3.0,-1.0,-18.150000000000002
2.0,5.0,5.0,2.0,-3.0,-2.1433333333333335
-1.0,0.0,-3.0,-2.0,-1.0,-2.1433333333333335
4.0,3.0,1.0,0.0,-3.0,-5.41
4.0,0.0,1.0,3.0,4.0,-10.31
-1.0,3.0,5.0,-4.0,-1.0,10.27
-3.0,2.0,5.0,-5.0,-2.0,7.656666666666666
3.0,-4.0,3.0,-3.0,-3.0,27.91
-5.0,-2.0,0.0,4.0,-2.0,50.77666666666667
4.0,1.0,-5.0,-5.0,3.0,66.45666666666668
-2.0,-2.0,1.0,4.0,5.0,31.176666666666666
-5.0,-2.0,-3.0,0.0,-4.0,-5.41
-4.0,0.0,5.0,-4.0,-3.0,-5.41
-3.0,3.0,-3.0,3.0,-2.0,26.930000000000003
0.0,-1.0,-5.0,5.0,4.0,33.78999999999999
-3.0,-1.0,-2.0,0.0,-2.0,-5.41
-5.0,-3.0,1.0,3.0,-3.0,30.850000000000005
4.0,-4.0,-5.0,4.0,2.0,-10.636666666666667
4.0,-4.0,-5.0,-5.0,2.0,74.62333333333335
4.0,4.0,-1.0,5.0,0.0,9.290000000000001
-5.0,-3.0,3.0,-4.0,5.0,-8.023333333333333
0.0,5.0,-5.0,5.0,-4.0,43.59
4.0,-5.0,2.0,4.0,0.0,-11.943333333333333
-4.0,1.0,-2.0,-3.0,3.0,-11.29
-3.0,-1.0,0.0,-5.0,-3.0,12.556666666666668
-4.0,-4.0,-4.0,-4.0,5.0,-0.18333333333333357
1.0,-1.0,-3.0,0.0,1.0,-5.41
-2.0,-4.0,-5.0,-5.0,5.0,25.623333333333335
1.0,-1.0,-4.0,-2.0,5.0,5.043333333333333
1.0,-3.0,5.0,2.0,4.0,-4.1033333333333335
-5.0,-4.0,5.0,3.0,-4.0,29.87
-2.0,3.0,3.0,-4.0,-2.0,3.7366666666666664
-5.0,2.0,-4.0,-4.0,4.0,-14.556666666666667
-3.0,0.0,-2.0,-2.0,-3.0,-8.676666666666666
3.0,-3.0,-2.0,5.0,-5.0,6.023333333333333
0.0,-5.0,3.0,4.0,4.0,14.190000000000001
-1.0,-4.0,-1.0,1.0,-5.0,-3.45
5.0,1.0,-4.0,0.0,-5.0,-5.41
-2.0,5.0,-3.0,-1.0,3.0,-8.676666666666666
5.0,1.0,-3.0,-2.0,2.0,16.803333333333335
-2.0,-5.0,-3.0,5.0,-1.0,43.59
1.0,4.0,3.0,5.0,4.0,33.78999999999999
-4.0,5.0,-2.0,-1.0,1.0,-11.943333333333333
PS D:\testejava\geracaocsv> java -jar target/GeracaoCSV-1.0-SNAPSHOT-jar-with-dependencies.jar
2.0,3.0,-3.0,4.0,2.0,11.576666666666668
1.0,-5.0,-1.0,-3.0,0.0,19.09
-2.0,1.0,1.0,1.0,-3.0,-0.18333333333333357
1.0,-5.0,-5.0,-4.0,-2.0,33.790000000000006
-2.0,4.0,5.0,-3.0,-4.0,-4.430000000000001
-1.0,1.0,-5.0,-2.0,-3.0,-2.796666666666667
-2.0,1.0,-5.0,-4.0,-1.0,6.35
-3.0,2.0,-3.0,-2.0,1.0,-9.983333333333334
-4.0,-2.0,-1.0,-3.0,5.0,-8.35
-5.0,-3.0,-3.0,1.0,-5.0,3.41
-1.0,5.0,-2.0,-4.0,5.0,7.656666666666666
2.0,-4.0,-5.0,4.0,-2.0,2.4299999999999997
-3.0,-1.0,-1.0,0.0,-1.0,-5.41
-4.0,-5.0,1.0,-2.0,0.0,-8.676666666666666
3.0,-4.0,-3.0,1.0,-3.0,-9.983333333333334
-4.0,1.0,4.0,-3.0,3.0,-11.29
3.0,4.0,-1.0,-3.0,-4.0,20.070000000000004
-5.0,-2.0,2.0,1.0,-5.0,3.7366666666666664
-4.0,-4.0,5.0,-4.0,-1.0,-0.18333333333333357
3.0,1.0,-3.0,3.0,-1.0,-4.43
-1.0,3.0,1.0,4.0,3.0,31.176666666666666
4.0,-4.0,-5.0,5.0,1.0,-3.7766666666666673
-3.0,-5.0,1.0,0.0,-4.0,-5.41
4.0,4.0,-3.0,3.0,-1.0,-6.39
-5.0,0.0,-2.0,5.0,5.0,76.25666666666667
5.0,3.0,1.0,3.0,-2.0,-12.27
5.0,4.0,-4.0,-3.0,5.0,29.87
-1.0,-2.0,4.0,-5.0,2.0,30.523333333333337
1.0,-4.0,-5.0,1.0,-5.0,-6.716666666666667
2.0,5.0,3.0,2.0,5.0,-2.1433333333333335
1.0,5.0,0.0,1.0,2.0,-3.776666666666667
5.0,-2.0,4.0,0.0,2.0,-5.41
-4.0,1.0,3.0,-4.0,0.0,-6.716666666666667
-4.0,3.0,-2.0,-2.0,-2.0,-13.903333333333334
-4.0,-4.0,-4.0,3.0,-3.0,24.970000000000006
-2.0,5.0,-1.0,-2.0,5.0,-8.676666666666666
-1.0,3.0,-4.0,2.0,5.0,6.35
-1.0,4.0,4.0,-5.0,5.0,20.723333333333333
-5.0,1.0,-1.0,-5.0,1.0,-7.043333333333333
-4.0,1.0,-1.0,0.0,3.0,-5.41
-4.0,0.0,3.0,1.0,-4.0,2.7566666666666677
-2.0,-4.0,-4.0,4.0,4.0,28.563333333333336
3.0,2.0,3.0,-4.0,-2.0,37.709999999999994
3.0,4.0,-1.0,5.0,-2.0,17.456666666666667
-3.0,5.0,0.0,-5.0,-4.0,2.756666666666666
4.0,0.0,-3.0,4.0,3.0,-5.41
-5.0,4.0,-4.0,-5.0,1.0,-11.943333333333333
3.0,-5.0,1.0,1.0,2.0,-10.31
2.0,1.0,1.0,5.0,-1.0,20.723333333333333
-5.0,3.0,-3.0,4.0,1.0,57.31
-4.0,-2.0,-3.0,1.0,-5.0,2.1033333333333335
5.0,5.0,-2.0,-3.0,0.0,28.890000000000004
-5.0,0.0,3.0,5.0,-2.0,76.25666666666667
2.0,2.0,5.0,4.0,-4.0,10.27
-2.0,-5.0,-4.0,-4.0,0.0,14.190000000000001
-3.0,0.0,-5.0,-5.0,-4.0,10.923333333333332
-4.0,-5.0,0.0,-3.0,3.0,-5.41
1.0,-3.0,4.0,1.0,3.0,-6.390000000000001
-4.0,5.0,-5.0,2.0,-3.0,17.45666666666667
-3.0,2.0,-3.0,2.0,4.0,12.23
-3.0,2.0,2.0,3.0,-4.0,25.950000000000003
1.0,-3.0,-3.0,-4.0,-3.0,31.176666666666666
5.0,-3.0,2.0,1.0,-2.0,-12.923333333333334
4.0,-2.0,-5.0,1.0,4.0,-10.963333333333335
2.0,-1.0,-3.0,-1.0,0.0,-0.18333333333333357
-2.0,2.0,4.0,-3.0,1.0,-2.47
-1.0,-5.0,-2.0,3.0,0.0,9.290000000000001
2.0,2.0,-4.0,-3.0,-5.0,17.13
-3.0,0.0,-4.0,-1.0,4.0,-8.676666666666666
3.0,0.0,0.0,-5.0,-3.0,59.92333333333333
5.0,0.0,2.0,1.0,1.0,-11.943333333333333
2.0,4.0,2.0,-2.0,-4.0,5.043333333333333
-4.0,-1.0,-3.0,-2.0,1.0,-11.29
3.0,-1.0,-2.0,3.0,-3.0,-6.390000000000001
-2.0,-5.0,-5.0,1.0,-5.0,-2.1433333333333335
1.0,-1.0,3.0,0.0,-1.0,-5.41
-5.0,0.0,-2.0,-5.0,-2.0,-5.41
-5.0,-4.0,3.0,-3.0,-2.0,-11.29
1.0,2.0,2.0,4.0,-1.0,16.803333333333335
-3.0,3.0,-1.0,-2.0,0.0,-10.636666666666667
2.0,5.0,-1.0,-5.0,-4.0,43.59
-4.0,2.0,3.0,-3.0,4.0,-12.27
5.0,0.0,-3.0,-2.0,3.0,17.45666666666667
0.0,3.0,-4.0,2.0,-5.0,3.083333333333334
3.0,-4.0,1.0,-2.0,4.0,13.536666666666669
0.0,0.0,4.0,2.0,-1.0,1.123333333333333
-4.0,3.0,1.0,5.0,3.0,72.99
-1.0,-5.0,-4.0,3.0,-5.0,9.290000000000001
4.0,-4.0,2.0,-2.0,-3.0,16.803333333333335
-5.0,-1.0,-3.0,4.0,4.0,52.08333333333334
-5.0,0.0,5.0,1.0,-3.0,4.390000000000001
5.0,3.0,-2.0,-5.0,5.0,71.35666666666667
-4.0,3.0,-2.0,-2.0,2.0,-13.903333333333334
0.0,3.0,-1.0,2.0,0.0,3.083333333333334
1.0,3.0,5.0,1.0,0.0,-4.43
4.0,5.0,1.0,2.0,-5.0,-8.676666666666666
1.0,-4.0,-5.0,0.0,2.0,-5.41
-2.0,-3.0,-3.0,-3.0,4.0,2.4300000000000006
-5.0,-2.0,1.0,-5.0,-3.0,-2.1433333333333335
3.0,2.0,-1.0,4.0,2.0,3.7366666666666664
-1.0,-5.0,-5.0,-5.0,1.0,35.42333333333333
5.0,-2.0,1.0,-4.0,-2.0,56.00333333333333
4.0,5.0,-2.0,-3.0,4.0,23.990000000000002
-4.0,-2.0,0.0,2.0,-3.0,12.883333333333333
5.0,-2.0,-2.0,4.0,0.0,-14.556666666666667
1.0,3.0,3.0,-5.0,3.0,38.69
-3.0,-4.0,2.0,-4.0,-4.0,6.35
-4.0,5.0,3.0,3.0,1.0,33.790000000000006
1.0,1.0,0.0,-1.0,-3.0,-2.47
-5.0,-1.0,2.0,5.0,5.0,74.62333333333335
1.0,-1.0,-5.0,0.0,-4.0,-5.41
-4.0,-5.0,-3.0,-2.0,3.0,-8.676666666666666
2.0,2.0,5.0,2.0,0.0,-4.1033333333333335
1.0,-2.0,3.0,5.0,4.0,23.990000000000002
-3.0,-5.0,1.0,-4.0,5.0,7.656666666666666
-1.0,-5.0,2.0,-1.0,-4.0,-3.776666666666667
-5.0,-3.0,3.0,-1.0,4.0,-10.963333333333335
5.0,0.0,4.0,3.0,-4.0,-15.21
4.0,1.0,1.0,5.0,-3.0,4.389999999999999
2.0,3.0,1.0,3.0,-5.0,2.4300000000000006
-5.0,-5.0,-3.0,-1.0,-2.0,-10.31
-3.0,2.0,-4.0,-3.0,-2.0,-7.37
-5.0,-2.0,4.0,4.0,2.0,50.77666666666667
1.0,1.0,5.0,-4.0,-1.0,25.95
0.0,-5.0,-1.0,-4.0,-5.0,27.25666666666667
4.0,4.0,1.0,-1.0,-1.0,1.450000000000001
-2.0,4.0,5.0,2.0,5.0,10.27
-3.0,1.0,-5.0,3.0,2.0,24.970000000000006
4.0,5.0,-4.0,5.0,5.0,10.923333333333332
-2.0,-1.0,2.0,-1.0,-3.0,-6.716666666666667
-3.0,1.0,5.0,5.0,4.0,61.55666666666666
3.0,4.0,1.0,-4.0,1.0,35.09666666666668
-5.0,-5.0,0.0,0.0,0.0,-5.41
0.0,-1.0,-5.0,1.0,5.0,-4.1033333333333335
1.0,-2.0,-5.0,-1.0,3.0,-1.4900000000000002
-3.0,5.0,-2.0,-2.0,0.0,-11.943333333333333
0.0,5.0,-3.0,-5.0,-4.0,27.256666666666664
5.0,-4.0,2.0,-1.0,-5.0,5.696666666666667
-2.0,2.0,2.0,1.0,3.0,0.14333333333333353
4.0,-4.0,0.0,0.0,2.0,-5.41
-1.0,0.0,-4.0,-4.0,-5.0,14.190000000000001
4.0,5.0,-4.0,-3.0,-1.0,23.990000000000002
-2.0,-3.0,-4.0,3.0,2.0,16.150000000000002
1.0,4.0,4.0,0.0,3.0,-5.41
-5.0,-4.0,-3.0,2.0,-4.0,14.843333333333337
1.0,0.0,1.0,-5.0,-1.0,43.59
2.0,0.0,-2.0,-5.0,5.0,51.756666666666675
1.0,5.0,5.0,3.0,2.0,9.290000000000001
-1.0,3.0,4.0,2.0,-5.0,6.35
4.0,1.0,0.0,3.0,-3.0,-9.33
-3.0,4.0,-1.0,2.0,4.0,13.536666666666669
-2.0,-4.0,-4.0,-2.0,1.0,-2.796666666666667
5.0,4.0,0.0,-2.0,4.0,14.843333333333337
0.0,-1.0,-2.0,-2.0,-5.0,1.7766666666666673
1.0,-2.0,3.0,-1.0,1.0,-1.4900000000000002
2.0,-5.0,5.0,-5.0,3.0,59.92333333333333
-4.0,2.0,4.0,4.0,3.0,49.47000000000001
-5.0,3.0,-1.0,-4.0,0.0,-15.863333333333333
4.0,-4.0,3.0,0.0,-1.0,-5.41
-2.0,-5.0,1.0,-5.0,-5.0,27.256666666666664
3.0,3.0,-1.0,-4.0,0.0,36.403333333333336
-4.0,-3.0,-5.0,1.0,1.0,1.7766666666666673
2.0,-5.0,-5.0,-4.0,0.0,40.32333333333334
3.0,2.0,0.0,1.0,-3.0,-8.023333333333333
-3.0,-5.0,-4.0,-1.0,4.0,-7.043333333333333
-4.0,-3.0,2.0,-4.0,5.0,-1.4900000000000002
0.0,-2.0,0.0,-4.0,1.0,23.33666666666667
3.0,2.0,3.0,0.0,-2.0,-5.41
-4.0,0.0,-2.0,5.0,-5.0,68.09
3.0,5.0,-1.0,-1.0,-2.0,-0.5099999999999998
3.0,-2.0,2.0,4.0,-5.0,-1.4900000000000002
5.0,-3.0,5.0,0.0,0.0,-5.41
5.0,-4.0,1.0,3.0,2.0,-19.130000000000003
1.0,-4.0,0.0,0.0,2.0,-5.41
1.0,2.0,1.0,-2.0,3.0,3.083333333333334
1.0,-1.0,-5.0,1.0,2.0,-5.736666666666666
2.0,1.0,-2.0,4.0,3.0,8.963333333333335
2.0,-4.0,3.0,-2.0,-3.0,10.27
1.0,-1.0,-5.0,-5.0,-4.0,45.22333333333334
-1.0,4.0,2.0,0.0,4.0,-5.41
-2.0,-4.0,4.0,3.0,-1.0,15.170000000000002
-2.0,0.0,0.0,2.0,5.0,7.656666666666666
5.0,1.0,-2.0,5.0,-4.0,-3.776666666666667
-5.0,-5.0,-3.0,-3.0,1.0,-10.31
2.0,2.0,1.0,-4.0,2.0,31.176666666666666
-3.0,-2.0,3.0,1.0,4.0,0.46999999999999975
-5.0,2.0,-4.0,4.0,5.0,56.00333333333333
-2.0,0.0,4.0,-1.0,-3.0,-7.043333333333333
4.0,-3.0,5.0,-2.0,-4.0,16.15
-1.0,-5.0,-4.0,0.0,-2.0,-5.41
5.0,2.0,0.0,3.0,-2.0,-13.25
3.0,2.0,-5.0,-3.0,-5.0,22.03
1.0,-1.0,5.0,0.0,0.0,-5.41
-4.0,1.0,5.0,-5.0,2.0,1.123333333333333
4.0,-1.0,0.0,5.0,-1.0,1.123333333333333
2.0,-2.0,-5.0,4.0,5.0,5.043333333333333
0.0,-5.0,-4.0,4.0,-3.0,14.190000000000001
-1.0,-5.0,0.0,5.0,1.0,35.42333333333333
1.0,4.0,-3.0,2.0,2.0,0.46999999999999975
3.0,2.0,-4.0,-3.0,-5.0,22.03
-5.0,-3.0,3.0,5.0,0.0,71.35666666666667
5.0,-5.0,-2.0,-1.0,4.0,6.023333333333335
-1.0,-3.0,3.0,-3.0,3.0,7.330000000000002
1.0,-1.0,-3.0,-3.0,1.0,15.170000000000002
5.0,4.0,3.0,-4.0,-3.0,48.16333333333333
-2.0,4.0,-5.0,3.0,4.0,23.01
4.0,-5.0,3.0,-4.0,-2.0,53.39
5.0,-4.0,-3.0,-2.0,-5.0,20.070000000000004
-1.0,2.0,3.0,-3.0,2.0,2.4300000000000006
0.0,-1.0,0.0,-2.0,-5.0,1.7766666666666673
-5.0,1.0,5.0,-2.0,-3.0,-15.863333333333333
5.0,-1.0,4.0,0.0,-2.0,-5.41
2.0,5.0,2.0,-5.0,0.0,43.59
-1.0,-3.0,-5.0,-1.0,-5.0,-4.43
-3.0,2.0,3.0,5.0,-2.0,63.19000000000001
-3.0,-5.0,-4.0,4.0,-5.0,33.790000000000006
-5.0,0.0,-2.0,-3.0,2.0,-15.21
1.0,0.0,4.0,-3.0,-2.0,14.190000000000001
5.0,-5.0,5.0,-3.0,1.0,38.69
0.0,-3.0,3.0,5.0,-2.0,30.523333333333337
5.0,-5.0,2.0,0.0,0.0,-5.41
0.0,4.0,3.0,-2.0,-4.0,-1.4900000000000002
-3.0,4.0,-3.0,-4.0,0.0,-4.1033333333333335
1.0,-4.0,1.0,2.0,1.0,-4.756666666666667
-3.0,3.0,-1.0,-2.0,-1.0,-10.636666666666667
1.0,-2.0,3.0,-3.0,4.0,16.150000000000002
-5.0,-2.0,-5.0,2.0,-2.0,16.15
-3.0,0.0,4.0,3.0,3.0,23.990000000000002
4.0,3.0,-5.0,3.0,3.0,-7.37
-3.0,1.0,5.0,-1.0,-4.0,-9.003333333333334
5.0,5.0,5.0,3.0,1.0,-10.31
-5.0,-3.0,-5.0,-5.0,-4.0,-0.5100000000000007
1.0,4.0,3.0,-2.0,-2.0,1.7766666666666673
4.0,-4.0,-5.0,-2.0,-1.0,16.803333333333335
-3.0,4.0,-4.0,-1.0,5.0,-9.983333333333334
-4.0,-1.0,-5.0,-3.0,-3.0,-9.33
5.0,1.0,-4.0,1.0,2.0,-11.616666666666667
2.0,-4.0,-4.0,-3.0,-2.0,23.01
1.0,2.0,-2.0,-1.0,-3.0,-2.796666666666667
5.0,0.0,4.0,1.0,1.0,-11.943333333333333
-1.0,1.0,5.0,-5.0,-1.0,25.623333333333335
-4.0,5.0,1.0,5.0,-3.0,76.25666666666667
-4.0,4.0,-5.0,-1.0,5.0,-11.616666666666667
2.0,2.0,1.0,3.0,-1.0,1.4500000000000002
4.0,0.0,-2.0,4.0,5.0,-5.41
0.0,3.0,1.0,5.0,2.0,40.32333333333334
-2.0,4.0,1.0,0.0,1.0,-5.41
1.0,3.0,-4.0,0.0,5.0,-5.41
-3.0,-5.0,-1.0,-1.0,-2.0,-7.043333333333333
3.0,-2.0,-1.0,0.0,-5.0,-5.41
-5.0,-2.0,5.0,2.0,2.0,16.15
1.0,-1.0,-4.0,0.0,1.0,-5.41
-2.0,4.0,-3.0,-4.0,2.0,2.4299999999999997
-5.0,1.0,2.0,-3.0,-2.0,-16.19
1.0,5.0,-1.0,0.0,2.0,-5.41
1.0,-5.0,1.0,1.0,0.0,-7.043333333333333
0.0,-2.0,1.0,2.0,0.0,-0.18333333333333357
4.0,-4.0,-5.0,-5.0,1.0,74.62333333333335
2.0,-4.0,4.0,-3.0,4.0,23.01
-2.0,4.0,-4.0,4.0,-3.0,39.016666666666666
-1.0,-2.0,-1.0,-3.0,-3.0,6.35
4.0,-5.0,-4.0,3.0,0.0,-15.21
1.0,-2.0,-5.0,-3.0,1.0,16.150000000000002
-1.0,5.0,-1.0,3.0,2.0,19.09
0.0,-5.0,-5.0,0.0,-5.0,-5.41
-2.0,0.0,0.0,5.0,3.0,51.756666666666675
-5.0,0.0,5.0,-4.0,5.0,-11.943333333333333
-5.0,3.0,-2.0,-5.0,-1.0,-10.309999999999999
3.0,0.0,4.0,-2.0,-3.0,10.923333333333336
-1.0,5.0,3.0,-1.0,5.0,-7.043333333333333
-1.0,-1.0,-3.0,5.0,2.0,41.95666666666666
4.0,-3.0,-3.0,-2.0,-3.0,16.15
5.0,5.0,-3.0,-2.0,0.0,14.190000000000001
4.0,5.0,-1.0,-2.0,-5.0,10.923333333333336
-5.0,5.0,-3.0,-5.0,4.0,-13.576666666666666
-2.0,5.0,5.0,5.0,1.0,59.92333333333333
4.0,-2.0,-1.0,3.0,-1.0,-12.27
-3.0,2.0,1.0,-2.0,1.0,-9.983333333333334
5.0,-5.0,-3.0,4.0,-5.0,-18.476666666666667
4.0,-4.0,3.0,4.0,-5.0,-10.636666666666667
-1.0,0.0,2.0,2.0,1.0,4.390000000000001
4.0,-2.0,5.0,5.0,3.0,-0.5100000000000007
2.0,3.0,3.0,-2.0,-3.0,5.696666666666667
4.0,5.0,-5.0,0.0,-5.0,-5.41
5.0,3.0,-3.0,5.0,-2.0,-0.5100000000000007
5.0,3.0,3.0,-2.0,3.0,15.496666666666666
0.0,-5.0,-5.0,-1.0,-1.0,-2.1433333333333335
0.0,-5.0,2.0,5.0,-1.0,27.256666666666664
-1.0,1.0,1.0,-4.0,-4.0,12.883333333333333
3.0,-5.0,-4.0,-5.0,-4.0,68.09
1.0,1.0,4.0,1.0,-2.0,-5.083333333333334
-3.0,-3.0,-4.0,4.0,0.0,36.403333333333336
-4.0,1.0,3.0,-2.0,4.0,-12.596666666666668
4.0,1.0,-4.0,-1.0,-5.0,2.4299999999999997
4.0,-2.0,-1.0,1.0,-3.0,-10.963333333333335
0.0,4.0,5.0,2.0,-4.0,3.7366666666666664
-3.0,-5.0,2.0,-5.0,-3.0,19.09
-2.0,-2.0,-4.0,3.0,2.0,17.13
-5.0,-5.0,4.0,3.0,-4.0,28.890000000000004
0.0,1.0,-5.0,-1.0,-2.0,-4.1033333333333335
5.0,2.0,-2.0,-3.0,1.0,31.830000000000002
-3.0,-1.0,5.0,-5.0,-2.0,12.556666666666668
-3.0,1.0,4.0,-5.0,-2.0,9.290000000000001
-2.0,0.0,2.0,0.0,-2.0,-5.41
3.0,-3.0,4.0,5.0,5.0,6.023333333333333
-5.0,-1.0,-1.0,4.0,1.0,52.08333333333334
-3.0,5.0,-3.0,4.0,-3.0,46.85666666666667
-5.0,-2.0,-5.0,-2.0,-5.0,-13.903333333333334
5.0,4.0,-2.0,-1.0,2.0,3.083333333333334
-1.0,4.0,1.0,-3.0,5.0,0.46999999999999975
-5.0,-4.0,1.0,5.0,-5.0,69.72333333333334
-2.0,1.0,5.0,0.0,-3.0,-5.41
-5.0,-4.0,0.0,4.0,-5.0,48.16333333333333
-3.0,-5.0,-2.0,5.0,1.0,51.756666666666675
0.0,0.0,0.0,-3.0,-3.0,9.290000000000001
